checkpoint_path,eval_average_episode_reward,eval_average_episode_turns,eval_average_final_placement_score,eval_average_final_vp,eval_average_first_place_rate,eval_episodes_evaluated,eval_steps_evaluated,eval_truncation_count,eval_winner_counts,param_allow_domestic_trade,param_checkpoint_dir,param_clip_epsilon,param_device,param_entropy_coef,param_gae_lambda,param_gamma,param_learning_rate,param_max_grad_norm,param_max_turns,param_minibatch_size,param_normalize_advantages,param_num_players,param_reward_config.placement_rewards.1,param_reward_config.placement_rewards.2,param_reward_config.placement_rewards.3,param_reward_config.placement_rewards.4,param_reward_config.weights.cards_gained,param_reward_config.weights.cards_stolen,param_reward_config.weights.cities_built,param_reward_config.weights.dev_cards_bought,param_reward_config.weights.dev_cards_played,param_reward_config.weights.final_vp,param_reward_config.weights.moves_taken,param_reward_config.weights.placement_score,param_reward_config.weights.resources_discarded,param_reward_config.weights.roads_built,param_reward_config.weights.robber_steals,param_reward_config.weights.settlements_built,param_reward_config.weights.truncation,param_reward_config.weights.turn_penalty,param_reward_config.weights.vp_gain,param_reward_config.weights.win,param_rollout_episodes,param_run_eval_episodes,param_seed,param_update_epochs,param_value_coef,resume_checkpoint,resumed_update_step,session_name,session_path,train_average_episode_reward,train_average_episode_turns,train_average_final_placement_score,train_average_final_vp,train_average_first_place_rate,train_entropy,train_episodes_collected,train_explained_variance,train_policy_loss,train_steps_collected,train_total_loss,train_truncation_count,train_value_loss,train_winner_counts,update,updates_requested
training_runs/training_session_007_20260410_103344/checkpoints/checkpoint_0013.pt,1.0722500000000128,339.375,0.5078125,5.0625,0.875,8,7622,1,"{""0"": 4, ""1"": 3, ""none"": 1}",False,training_runs/training_session_007_20260410_103344/checkpoints,0.2,cpu,0.01,0.95,0.99,0.0003,0.5,1000,16,True,4,1.0,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,-0.001,0.05,0.0,4,8,7,1,0.5,training_runs/training_session_006_20260409_162036/checkpoints/checkpoint_0009.pt,9,training_session_007_20260410_103344,training_runs/training_session_007_20260410_103344,1.2332499999999988,326.0,0.4375,5.9375,1.0,0.7833852336722977,4,0.9375870823860168,-0.0005215237107203931,3917,-0.006400779395231179,0,0.003909192395477309,"{""0"": 1, ""2"": 1, ""3"": 2}",13,5
training_runs/training_session_007_20260410_103344/checkpoints/checkpoint_0014.pt,0.45925000000002963,527.625,0.5,4.5625,0.625,8,11226,3,"{""0"": 2, ""1"": 2, ""3"": 1, ""none"": 3}",False,training_runs/training_session_007_20260410_103344/checkpoints,0.2,cpu,0.01,0.95,0.99,0.0003,0.5,1000,16,True,4,1.0,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,-0.001,0.05,0.0,4,8,7,1,0.5,training_runs/training_session_006_20260409_162036/checkpoints/checkpoint_0009.pt,9,training_session_007_20260410_103344,training_runs/training_session_007_20260410_103344,1.3372499999999992,303.5,0.453125,5.8125,1.0,0.7042596295612044,4,0.8595951795578003,-0.0003574479469119414,3501,-0.004951377458802369,0,0.004897334525461593,"{""0"": 2, ""1"": 2}",14,5
training_runs/training_session_008_20260410_110113/checkpoints/checkpoint_0014.pt,0.7811250000000104,634.875,0.4921875,4.90625,0.625,8,13401,3,"{""1"": 1, ""2"": 2, ""3"": 2, ""none"": 3}",False,training_runs/training_session_008_20260410_110113/checkpoints,0.2,cpu,0.01,0.95,0.99,0.0001,0.5,1000,16,True,4,1.0,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.1,-0.001,0.08,0.0,6,8,7,1,0.5,training_runs/training_session_007_20260410_103344/checkpoints/checkpoint_0013.pt,13,training_session_008_20260410_110113,training_runs/training_session_008_20260410_110113,2.304000000000015,244.16666666666666,0.4375,6.125,1.0,0.761266459805378,6,0.9213879108428955,-0.0009992819977924228,4416,-0.005902385254781963,0,0.005419123916552686,"{""0"": 3, ""1"": 2, ""3"": 1}",14,15
training_runs/training_session_008_20260410_110113/checkpoints/checkpoint_0015.pt,0.8457500000000193,641.5,0.5078125,5.0625,0.625,8,13374,3,"{""0"": 2, ""2"": 1, ""3"": 2, ""none"": 3}",False,training_runs/training_session_008_20260410_110113/checkpoints,0.2,cpu,0.01,0.95,0.99,0.0001,0.5,1000,16,True,4,1.0,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.1,-0.001,0.08,0.0,6,8,7,1,0.5,training_runs/training_session_007_20260410_103344/checkpoints/checkpoint_0013.pt,13,training_session_008_20260410_110113,training_runs/training_session_008_20260410_110113,2.221666666666687,260.0,0.4375,5.875,1.0,0.7365557117978248,6,0.9334503412246704,-0.0017769456798866236,4590,-0.0066770284504788675,0,0.0049309466881531485,"{""0"": 1, ""1"": 2, ""2"": 3}",15,15
training_runs/training_session_008_20260410_110113/checkpoints/checkpoint_0016.pt,0.976500000000035,552.875,0.578125,4.53125,0.75,8,12068,2,"{""2"": 3, ""3"": 3, ""none"": 2}",False,training_runs/training_session_008_20260410_110113/checkpoints,0.2,cpu,0.01,0.95,0.99,0.0001,0.5,1000,16,True,4,1.0,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.1,-0.001,0.08,0.0,6,8,7,1,0.5,training_runs/training_session_007_20260410_103344/checkpoints/checkpoint_0013.pt,13,training_session_008_20260410_110113,training_runs/training_session_008_20260410_110113,2.4858333333333538,276.1666666666667,0.4583333333333333,6.583333333333333,1.0,0.7626844840213514,6,0.9446871280670166,-0.001743526944813256,5005,-0.00688793536457129,0,0.004964873275776117,"{""0"": 2, ""2"": 3, ""3"": 1}",16,15
training_runs/training_session_008_20260410_110113/checkpoints/checkpoint_0017.pt,-0.29062499999995206,911.875,0.65625,3.6875,0.125,8,19045,7,"{""3"": 1, ""none"": 7}",False,training_runs/training_session_008_20260410_110113/checkpoints,0.2,cpu,0.01,0.95,0.99,0.0001,0.5,1000,16,True,4,1.0,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.1,-0.001,0.08,0.0,6,8,7,1,0.5,training_runs/training_session_007_20260410_103344/checkpoints/checkpoint_0013.pt,13,training_session_008_20260410_110113,training_runs/training_session_008_20260410_110113,2.1363333333333463,208.16666666666666,0.4583333333333333,5.375,1.0,0.727825728631436,6,0.8355688452720642,0.0004487451385527719,3662,-0.0027761952707535836,0,0.00810663367232194,"{""0"": 2, ""2"": 3, ""3"": 1}",17,15
training_runs/training_session_008_20260410_110113/checkpoints/checkpoint_0018.pt,-0.05312499999997167,770.375,0.5859375,4.125,0.375,8,16145,5,"{""0"": 1, ""1"": 1, ""2"": 1, ""none"": 5}",False,training_runs/training_session_008_20260410_110113/checkpoints,0.2,cpu,0.01,0.95,0.99,0.0001,0.5,1000,16,True,4,1.0,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.1,-0.001,0.08,0.0,6,8,7,1,0.5,training_runs/training_session_007_20260410_103344/checkpoints/checkpoint_0013.pt,13,training_session_008_20260410_110113,training_runs/training_session_008_20260410_110113,2.2618333333333545,288.5,0.4375,6.041666666666667,1.0,0.705007308950791,6,0.959305465221405,0.000259582550288775,4989,-0.00502522739295203,0,0.0035305255488567175,"{""1"": 2, ""2"": 3, ""3"": 1}",18,15
training_runs/training_session_008_20260410_110113/checkpoints/checkpoint_0019.pt,1.0350000000000095,581.5,0.484375,4.8125,0.625,8,12360,3,"{""1"": 1, ""2"": 1, ""3"": 3, ""none"": 3}",False,training_runs/training_session_008_20260410_110113/checkpoints,0.2,cpu,0.01,0.95,0.99,0.0001,0.5,1000,16,True,4,1.0,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.1,-0.001,0.08,0.0,6,8,7,1,0.5,training_runs/training_session_007_20260410_103344/checkpoints/checkpoint_0013.pt,13,training_session_008_20260410_110113,training_runs/training_session_008_20260410_110113,2.2428333333333614,263.1666666666667,0.4375,6.25,1.0,0.8001300883724501,6,0.9432984590530396,4.048418792846956e-05,4863,-0.00590857110709246,0,0.004104490209819663,"{""2"": 3, ""3"": 3}",19,15
training_runs/training_session_008_20260410_110113/checkpoints/checkpoint_0020.pt,-0.28449999999996833,927.25,0.6171875,3.9375,0.25,8,19416,6,"{""0"": 1, ""2"": 1, ""none"": 6}",False,training_runs/training_session_008_20260410_110113/checkpoints,0.2,cpu,0.01,0.95,0.99,0.0001,0.5,1000,16,True,4,1.0,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.1,-0.001,0.08,0.0,6,8,7,1,0.5,training_runs/training_session_007_20260410_103344/checkpoints/checkpoint_0013.pt,13,training_session_008_20260410_110113,training_runs/training_session_008_20260410_110113,2.2680000000000136,204.5,0.4479166666666667,5.666666666666667,1.0,0.7609444794502664,6,0.9296222925186157,0.00041411063693305277,3752,-0.0044857599316759315,0,0.005419146594655839,"{""0"": 3, ""1"": 1, ""3"": 2}",20,15
training_runs/training_session_008_20260410_110113/checkpoints/checkpoint_0021.pt,-0.32849999999996005,873.625,0.5625,3.8125,0.375,8,17548,5,"{""1"": 2, ""3"": 1, ""none"": 5}",False,training_runs/training_session_008_20260410_110113/checkpoints,0.2,cpu,0.01,0.95,0.99,0.0001,0.5,1000,16,True,4,1.0,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.1,-0.001,0.08,0.0,6,8,7,1,0.5,training_runs/training_session_007_20260410_103344/checkpoints/checkpoint_0013.pt,13,training_session_008_20260410_110113,training_runs/training_session_008_20260410_110113,2.2261666666666837,254.66666666666666,0.4479166666666667,6.083333333333333,1.0,0.7093052513287585,6,0.9524871706962585,-0.001973689547027345,4483,-0.006968156685654962,0,0.004197169086577709,"{""0"": 1, ""1"": 3, ""2"": 1, ""3"": 1}",21,15
